Gen	ID
4	C(C(CCO)(C(C(C)=O)O)O)=O
4	C(C(C=C)C(C=O)(CCO)O)=O
4	C(C(CCO)(C(C=O)O)O)=O
4	C(C(CCO)(CC=O)O)=O
4	C(C(C(C)O)C(C=O)(CCO)O)=O
4	C(C(C=O)C(C=O)(CCO)O)(O)=O
4	C(C(CCO)(C(C(C=O)=O)O)O)=O
4	C(C(CCO)(CC(C=O)=O)O)=O
4	C(C(CCO)(CC(C(O)=O)=O)O)=O
4	C(C(CO)C(C(CCO)=O)O)=O
4	C(C(C(C(CCO)=O)O)O)(CO)=O
4	C(CC(C(CCO)=O)O)(CO)=O
4	C(C(C(C(CCO)=O)O)O)(C)=O
4	C(C(C=C)C(C(CCO)=O)O)=O
4	C(C(C(C=O)O)O)(CCO)=O
4	C(C(C(CO)C(CCO)O)=O)=O
4	C(C(C(C(C=O)=O)CO)O)=O
4	C(C(C(C(C(C=O)=O)CO)O)O)=O
4	C(C(C(CO)C(CO)(CO)O)=O)=O
4	C(C(C(CO)C(C)(CO)O)=O)=O
4	C(C)=CC(C(C(C=O)=O)CO)O
4	C=CCC(C(C(C=O)=O)CO)O
4	C(C(C(CO)C(C(CO)O)O)=O)=O
4	C(C(C(CO)C(CO)O)=O)=O
4	C(C(C(CO)C(C(C)O)O)=O)=O
4	C(C(C(C(C=O)=O)CO)O)(O)=O
4	C(C(C(CO)C(C)O)=O)=O
4	C(C(C(C=O)=O)CO)(O)=O
4	C(C(C(CO)CO)=O)=O
4	C(C(C)(C(C(C=O)=O)CO)O)(O)=O
4	C(C(CO)C(C=O)(CC(C)O)O)=O
4	C(C(CC(C)O)(CC(CO)=O)O)=O
4	C(C(CC(C)O)(C(C(C)=O)O)O)=O
4	C(C(C=C)C(C=O)(CC(C)O)O)=O
4	C(C(CC(C)O)(C(C=O)O)O)=O
4	C(C(CC(C)O)(CC=O)O)=O
4	C(C(CC(C)O)(CC(C=O)=O)O)=O
4	C(C(CO)C(C(CC(C)O)=O)O)=O
4	C(CC(C(CC(C)O)=O)O)(CO)=O
4	C(C(C(C(CC(C)O)=O)O)O)(C)=O
4	C(C(C=C)C(C(CC(C)O)=O)O)=O
4	C(C(C(C=O)O)O)(CC(C)O)=O
4	C(C(C(C(C)O)C(CCO)O)=O)=O
4	C(C(C(C(C=O)=O)C(C)O)O)=O
4	C(C(C(C(C)O)C(C)(CO)O)=O)=O
4	C(C)=CC(C(C(C=O)=O)C(C)O)O
4	C=CCC(C(C(C=O)=O)C(C)O)O
4	C(C(C(C(CO)O)C(C)O)=O)=O
4	C(C(C(C(C)O)C(C(C)O)O)=O)=O
4	C(C(C(C(C=O)=O)C(C)O)O)(O)=O
4	C(C(C(C(C)O)C(C)O)=O)=O
4	C(C(C(C=O)=O)C(C)O)(O)=O
4	C(CC(C=O)(C(C=O)CO)O)(O)=O
4	C(CC(C=O)(CC(CO)=O)O)(O)=O
4	C(CC(C=O)(C(C(C)=O)O)O)(O)=O
4	C(C(C=C)C(C=O)(CC(O)=O)O)=O
4	C(CC(C=O)(C(C=O)O)O)(O)=O
4	C(CC(C=O)(CC=O)O)(O)=O
4	C(CC(C=O)(CC(C=O)=O)O)(O)=O
4	C(C(CO)C(C(CC(O)=O)=O)O)=O
4	C(CC(C(CC(CO)=O)O)=O)(O)=O
4	C(CC(C(C(C(C)=O)O)O)=O)(O)=O
4	C(C(C=C)C(C(CC(O)=O)=O)O)=O
4	C(CC(C(C(C=O)O)O)=O)(O)=O
