Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
188_0,,,,2,1,2,3
189_0,,,,2,1,2,3
190_0,,,,2,1,2,3
191_0,,,,2,1,2,3
192_0,,,,2,1,2,3
193_0,,,,2,1,2,3
194_0,,,,2,1,2,3
195_0,,,,2,1,2,3
197_0,,,,2,1,2,3
C(CCO)(CC(C=O)=O)=O,,,2,1,23,29,52
199_0,,,,2,1,2,3
C(CO)(CCC(C=O)=O)=O,,,2,1,22,29,51
201_0,,,,2,1,2,3
C(C)(C(CC(C=O)=O)O)=O,,,2,1,23,28,51
203_0,,,,2,1,2,3
C(CC(CC(C=O)=O)O)=O,,,2,1,22,31,53
205_0,,,,2,1,2,3
C(CC(C(CCO)=O)=O)=O,,,2,1,21,27,48
207_0,,,,2,1,2,3
C(CC(CC(CO)=O)=O)=O,,,2,1,25,32,57
209_0,,,,2,1,2,3
C(CC(C(C(C)=O)O)=O)=O,,,2,1,22,27,49
211_0,,,,2,1,2,3
C(CC(C(CC=O)O)=O)=O,,,2,1,26,33,59
213_0,,,,2,1,2,3
C(C(C=O)O)(CC(C)=O)=O,,,2,1,22,28,50
215_0,,,,2,1,2,3
C(C(C(CCC=O)=O)O)=O,,,2,1,22,28,50
217_0,,,,2,1,2,3
C(C(CC(C(C)=O)=O)O)=O,,,2,1,22,27,49
219_0,,,,2,1,2,3
C(CC(CC(C=O)O)=O)=O,,,2,1,27,34,61
220_0,,,,2,1,2,3
221_0,,,,2,1,2,3
222_0,,,,2,1,2,3
223_0,,,,2,1,2,3
224_0,,,,2,1,2,3
225_0,,,,2,1,2,3
226_0,,,,2,1,2,3
227_0,,,,2,1,2,3
228_0,,,,2,1,2,3
229_0,,,,2,1,2,3
230_0,,,,2,1,2,3
231_0,,,,2,1,2,3
233_0,,,,2,1,2,3
C1(CC(C(C(CO)O)O1)O)=O,,,2,1,9,4,13
235_0,,,,2,1,2,3
C1(COC(C(CO)O)C1O)=O,,,2,1,11,9,20
237_0,,,,2,1,2,3
C1(C(O)OC(C(CO)O)C1)=O,,,2,1,10,10,20
239_0,,,,2,1,2,3
C1(C(C(CO)O)OC(C1)O)=O,,,2,1,12,13,25
241_0,,,,2,1,2,3
C(C)(C1C(C(C(O1)O)O)O)=O,,,2,1,11,12,23
243_0,,,,2,1,2,3
C(CC1C(C(C(O)O1)O)O)=O,,,2,1,9,13,22
245_0,,,,2,1,2,3
C1(CC(C(C(CO)O1)O)O)=O,,,2,1,8,5,13
247_0,,,,2,1,2,3
C1(COC(CO)C(C1O)O)=O,,,2,1,12,10,22
249_0,,,,2,1,2,3
C1(C(O)OC(CO)C(C1)O)=O,,,2,1,9,9,18
251_0,,,,2,1,2,3
C1(C(C(CO)OC(C1)O)O)=O,,,2,1,9,10,19
253_0,,,,2,1,2,3
C1(C(C(O)OC(CO)C1)O)=O,,,2,1,9,12,21
255_0,,,,2,1,2,3
C1(C(CO)OC(C(C1)O)O)=O,,,2,1,11,12,23
257_0,,,,2,1,2,3
C1(CC(C(C(CO1)O)O)O)=O,,,2,1,8,8,16
259_0,,,,2,1,2,3
C1(COCC(C(C1O)O)O)=O,,,2,1,14,12,26
261_0,,,,2,1,2,3
C1(C(O)OCC(C(C1)O)O)=O,,,2,1,11,11,22
263_0,,,,2,1,2,3
C1(C(C(COC(C1)O)O)O)=O,,,2,1,12,13,25
265_0,,,,2,1,2,3
C1(C(C(O)OCC(C1)O)O)=O,,,2,1,10,13,23
267_0,,,,2,1,2,3
C1(C(COC(C(C1)O)O)O)=O,,,2,1,11,12,23
269_0,,,,2,1,2,3
C1(C(C(C(O)OCC1)O)O)=O,,,2,1,13,14,27
271_0,,,,2,1,2,3
C1(COC(C(C(C1)O)O)O)=O,,,2,1,11,13,24
273_0,,,,2,1,2,3
C(CC(C(O)=O)O)(CCO)=O,,,2,1,19,15,34
275_0,,,,2,1,2,3
C(C(CCC(CO)=O)O)(O)=O,,,2,1,16,13,29
277_0,,,,2,1,2,3
C(C(CC(C(C)=O)O)O)(O)=O,,,2,1,16,12,28
279_0,,,,2,1,2,3
C(CC(CC(C(O)=O)O)O)=O,,,2,1,17,16,33
281_0,,,,2,1,2,3
C(C(C(CC(CO)O)=O)=O)=O,,,2,1,14,17,31
283_0,,,,2,1,2,3
C(C(CO)O)(CC(C=O)=O)=O,,,2,1,21,22,43
285_0,,,,2,1,2,3
C(CCO)(C(C(C=O)=O)O)=O,,,2,1,16,19,35
287_0,,,,2,1,2,3
C(CO)(CC(C(C=O)=O)O)=O,,,2,1,19,22,41
289_0,,,,2,1,2,3
C(C)(C(C(C(C=O)=O)O)O)=O,,,2,1,21,23,44
291_0,,,,2,1,2,3
C(CC(C(C(C=O)=O)O)O)=O,,,2,1,19,24,43
293_0,,,,2,1,2,3
C(C(CO)O)=CC(C=O)=O,,,2,1,9,15,24
295_0,,,,2,1,2,3
C(C(C(C=CCO)=O)O)=O,,,2,1,13,19,32
297_0,,,,2,1,2,3
C(C=CC(C(CO)O)=O)=O,,,2,1,21,28,49
299_0,,,,2,1,2,3
C(C(C(C(C=C)=O)O)O)=O,,,2,1,28,34,62
301_0,,,,2,1,2,3
C(C(C=CC(CO)=O)O)=O,,,2,1,18,25,43
303_0,,,,2,1,2,3
C(C(C(C=CC=O)O)O)=O,,,2,1,21,28,49
305_0,,,,2,1,2,3
C(C(C(CO)O)O)=CC(O)=O,,,2,1,8,8,16
307_0,,,,2,1,2,3
C(C(C=CC(CO)O)O)(O)=O,,,2,1,10,8,18
308_0,,,,2,2,1,3
309_0,,,,2,2,1,3
310_0,,,,2,2,1,3
311_0,,,,2,2,1,3
312_0,,,,2,2,1,3
313_0,,,,2,2,1,3
314_0,,,,2,2,1,3
315_0,,,,2,2,1,3
316_0,,,,2,2,1,3
318_0,,,,2,1,1,2
C1C(C(C(O)O1)O)O,,,2,1,3,5,8
320_0,,,,2,1,1,2
C(C1(C(C(C(CO)O1)O)O)O)O,,,2,1,4,5,9
321_0,,,,2,1,1,2
323_0,,,,2,1,1,2
C(C1(CC(C(CO)O1)O)O)=O,,,2,1,4,7,11
324_0,,,,2,1,1,2
326_0,,,,2,1,1,2
C(CC1(C(C(CO1)O)O)O)=O,,,2,1,8,13,21
328_0,,,,2,1,1,2
C(C(C1(CC(CO1)O)O)O)=O,,,2,1,8,14,22
330_0,,,,2,1,1,2
C(C1C(CC(CO)(O1)O)O)=O,,,2,1,8,11,19
332_0,,,,2,1,1,2
C(C1C(C(C(C)(O1)O)O)O)=O,,,2,1,9,12,21
333_0,,,,2,1,1,2
335_0,,,,2,1,1,2
C(C(C1C(CC(O)O1)O)O)=O,,,2,1,9,12,21
336_0,,,,2,1,1,2
338_0,,,,2,1,1,2
C1(C(O)OC(C(CO)O)C1O)=O,,,2,1,6,7,13
340_0,,,,2,1,1,2
C(C1(C(C(C(CO)O1)O)O)O)=O,,,2,1,6,10,16
342_0,,,,2,1,1,2
