Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
C(CCO)(O)=O,,,3,1,26,72,98
184_0,,,,2,3,2,5
C(C(C)(CCO)O)(O)=O,,,3,1,5,8,13
186_0,,,,2,3,2,5
C(CO)(CO)=O,,,3,1,78,184,262
188_0,,,,2,3,2,5
CO,,,3,1,491,106,597
188_1,,,,2,3,2,5
190_0,,,,2,3,2,5
CCO,,,3,1,24,99,123
192_0,,,,2,3,2,5
C(CC(C)O)(O)=O,,,3,1,21,43,64
194_0,,,,2,3,2,5
C(CC(O)=O)(O)=O,,,3,1,17,34,51
196_0,,,,2,3,2,5
C(C(C)(CC(O)=O)O)(O)=O,,,3,1,7,7,14
198_0,,,,2,3,2,5
C(C(CO)=O)(O)=O,,,3,1,64,101,165
200_0,,,,2,3,2,5
C(C)(O)=O,,,3,1,7,31,38
202_0,,,,2,2,1,3
C(C(CO)(C(CC(C)O)O)O)(O)=O,,,3,1,11,11,22
202_1,,,,2,2,1,3
204_0,,,,2,2,1,3
C(C(CO)(C(CC(O)=O)O)O)(O)=O,,,3,1,9,11,20
204_1,,,,2,2,1,3
206_0,,,,2,2,1,3
C(C(CO)(C(C(CO)=O)O)O)(O)=O,,,3,1,16,14,30
206_1,,,,2,2,1,3
208_0,,,,2,2,1,3
C(C(CO)(C(C=O)(CO)O)O)(O)=O,,,3,1,15,17,32
208_1,,,,2,2,1,3
210_0,,,,2,2,1,3
C(C(CO)(CO)O)(O)=O,,,3,1,5,5,10
210_1,,,,2,2,1,3
212_0,,,,2,2,1,3
C(C(C(CC(C)O)O)O)(O)=O,,,3,1,10,10,20
214_0,,,,2,2,1,3
C(CC(C(C(O)=O)O)O)(O)=O,,,3,1,10,10,20
216_0,,,,2,2,1,3
C(C(C(C(CO)=O)O)O)(O)=O,,,3,1,18,16,34
218_0,,,,2,2,1,3
C(C(CO)(C(C(O)=O)O)O)=O,,,3,1,12,16,28
219_0,,,,2,2,1,3
221_0,,,,2,2,1,3
C(C(C(C)O)O)(O)=O,,,3,1,25,42,67
223_0,,,,2,2,1,3
C(C(C(O)=O)O)(O)=O,,,3,1,21,33,54
225_0,,,,2,2,1,3
C(C(C)(C(C(O)=O)O)O)(O)=O,,,3,1,10,9,19
226_0,,,,2,1,2,3
226_1,,,,2,1,2,3
227_0,,,,2,1,2,3
227_1,,,,2,1,2,3
228_0,,,,2,1,2,3
228_1,,,,2,1,2,3
229_0,,,,2,1,2,3
229_1,,,,2,1,2,3
230_0,,,,2,1,2,3
230_1,,,,2,1,2,3
232_0,,,,2,1,2,3
C(C(C)O)(O)=O,,,3,1,32,73,105
234_0,,,,2,1,2,3
C(C(C=O)(C)O)(O)=O,,,3,1,12,20,32
236_0,,,,2,1,2,3
C(C(C=O)O)(O)=O,,,3,1,74,105,179
238_0,,,,2,1,2,3
C(C(C(C)=O)CO)(O)=O,,,3,1,20,25,45
239_0,,,,2,1,2,3
240_0,,,,2,1,2,3
241_0,,,,2,1,2,3
243_0,,,,2,1,2,3
C(C(C(CC(O)=O)=O)(C)O)(O)=O,,,3,1,5,8,13
245_0,,,,2,1,2,3
C(C(C(C(C(O)=O)O)=O)C)(O)=O,,,3,1,7,9,16
246_0,,,,2,1,2,3
247_0,,,,2,1,2,3
249_0,,,,2,1,2,3
C(C)=CC=O,,,3,1,131,389,520
251_0,,,,2,1,2,3
C(CC=C)=O,,,3,1,93,285,378
253_0,,,,2,1,2,3
C(C)=CC(C(O)=O)=O,,,3,1,23,43,66
255_0,,,,2,1,2,3
C=CCC(C(O)=O)=O,,,3,1,19,33,52
257_0,,,,2,1,2,3
C(CC(C(O)=O)=C)=O,,,3,1,32,60,92
259_0,,,,2,1,2,3
C(C=C(C(O)=O)C)=O,,,3,1,35,69,104
261_0,,,,2,1,2,3
C(C(C=C)(CO)O)(O)=O,,,3,1,6,7,13
263_0,,,,2,1,2,3
C(C(C(C(O)=O)=C)(CO)O)(O)=O,,,3,1,5,8,13
265_0,,,,2,1,2,3
C(C(C(C(C(O)=O)=C)O)O)(O)=O,,,3,1,7,8,15
267_0,,,,2,1,2,3
C1(C(C=C(C(O)=O)O1)(C)O)=O,,,3,1,2,2,4
269_0,,,,2,1,2,3
C(C1(C=C(C(O1)=O)C)O)(O)=O,,,3,1,3,4,7
271_0,,,,2,1,2,3
C(C1(CC(C(O1)=O)=C)O)(O)=O,,,3,1,4,6,10
273_0,,,,2,1,2,3
C1(C(C)=CC(C(O1)=O)=O)=O,,,3,1,13,12,25
275_0,,,,2,1,2,3
C=C1C(OC(C(C1)=O)=O)=O,,,3,1,16,14,30
277_0,,,,2,2,1,3
CC(C(CO)O)O,,,3,1,9,21,30
279_0,,,,2,2,1,3
C(C(C(C(C)O)O)O)(O)=O,,,3,1,12,14,26
280_0,,,,2,2,1,3
282_0,,,,2,2,1,3
C(C(C)(C(CO)O)O)(O)=O,,,3,1,7,7,14
284_0,,,,2,2,1,3
C(C(C(C(O)=O)O)O)(O)=O,,,3,1,9,10,19
285_0,,,,2,2,1,3
287_0,,,,2,2,1,3
C(C(CO)O)(CC(C(O)=O)=O)=O,,,3,1,10,13,23
289_0,,,,2,2,1,3
C(C)(C(C(C(C(O)=O)=O)O)O)=O,,,3,1,11,13,24
290_0,,,,2,2,1,3
292_0,,,,2,2,1,3
C(C1(C)C(C(C(O1)=O)O)O)(O)=O,,,3,1,7,5,12
294_0,,,,2,2,1,3
C1(C(C)(C(C(C(O1)=O)O)O)O)=O,,,3,1,8,8,16
295_0,,,,2,2,1,3
297_0,,,,2,2,1,3
C(C(C)C(C(C(O)=O)=O)O)(O)=O,,,3,1,3,5,8
298_0,,,,2,2,1,3
300_0,,,,2,2,1,3
C(C(CO)CC(C(O)=O)=O)(O)=O,,,3,1,5,8,13
302_0,,,,2,1,1,2
C1(C(C)(CC(O)O1)O)=O,,,3,1,3,7,10
304_0,,,,2,1,1,2
C(C)(C1(CC(C(O1)=O)=O)O)=O,,,3,1,7,9,16
305_0,,,,2,1,1,2
307_0,,,,2,1,1,2
C1(C2(C)CC(C(O2)=O)(O)O1)=O,,,3,1,2,1,3
309_0,,,,2,1,1,2
C1(C(C)(O)OC(C(C1)=O)=O)=O,,,3,1,5,6,11
310_0,,,,2,1,1,2
311_0,,,,2,1,2,3
312_0,,,,2,1,2,3
313_0,,,,2,1,2,3
314_0,,,,2,1,2,3
315_0,,,,2,1,2,3
317_0,,,,2,1,2,3
C1(C(OC(C)C1)=O)=O,,,3,1,24,50,74
319_0,,,,2,1,2,3
C1(CC(C(O1)=O)=O)=O,,,3,1,22,48,70
321_0,,,,2,1,2,3
C1(C(C)(C(C(O)=O)(CO1)O)O)=O,,,3,1,7,6,13
323_0,,,,2,1,2,3
C1(C(CO)(C(C(O1)=O)(C)O)O)=O,,,3,1,9,8,17
324_0,,,,2,1,2,3
326_0,,,,2,1,2,3
C1(C(C)(C(C(C(O)=O)O1)O)O)=O,,,3,1,7,5,12
327_0,,,,2,1,2,3
328_0,,,,2,1,1,2
329_0,,,,2,1,2,3
330_0,,,,2,1,2,3
332_0,,,,2,1,1,2
C1(C(C(C(C1O)O)C(C)O)O)=O,,,4,1,3,12,15
332_1,,,,2,1,1,2
334_0,,,,2,1,1,2
C(C1C(C(C(C1O)=O)O)O)(O)=O,,,4,1,5,14,19
334_1,,,,2,1,1,2
336_0,,,,2,1,1,2
C(C1(CC(C(C1CO)=O)=O)O)(O)=O,,,4,1,5,16,21
337_0,,,,2,1,1,2
337_1,,,,2,1,1,2
339_0,,,,2,1,1,2
C1(C(C(C(C(C1O)O)=O)O)O)=O,,,4,1,2,4,6
339_1,,,,2,1,1,2
341_0,,,,2,1,1,2
C(C1(C(C(C(C1O)=O)O)O)O)=O,,,4,1,7,20,27
341_1,,,,2,1,1,2
343_0,,,,2,1,1,2
C1(C(C(CC1O)O)O)=O,,,4,1,3,33,36
343_1,,,,2,1,1,2
345_0,,,,2,1,1,2
C(C1(CC(C(C1O)=O)O)O)(O)=O,,,4,1,3,13,16
345_1,,,,2,1,1,2
347_0,,,,2,1,1,2
C1(C(CC(C1)O)=O)=O,,,4,1,1,49,50
348_0,,,,2,1,1,2
350_0,,,,2,1,1,2
C(C1(C(C(C(C1)=O)O)O)O)(O)=O,,,4,1,3,15,18
352_0,,,,2,1,1,2
