Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
242_0,,,,2,2,1,3
C(C(C(CC(CC=O)O)=O)O)=O,,,3,1,15,18,33
244_0,,,,2,2,1,3
C(CC(CC=O)O)=O,,,3,1,39,55,94
246_0,,,,2,2,1,3
C(CC(C(C=O)O)O)=O,,,3,1,36,46,82
246_1,,,,2,2,1,3
248_0,,,,2,2,1,3
C(C(C=O)C(C=O)(CCO)O)=O,,,3,1,8,12,20
248_1,,,,2,2,1,3
250_0,,,,2,2,1,3
C(C(C=O)C(C(CCO)=O)O)=O,,,3,1,11,13,24
250_1,,,,2,2,1,3
252_0,,,,2,2,1,3
C(C(C=O)C(C(CC=O)O)O)=O,,,3,1,15,18,33
252_1,,,,2,2,1,3
254_0,,,,2,2,1,3
C(C(C=O)C(CC(C=O)O)O)=O,,,3,1,13,15,28
254_1,,,,2,2,1,3
256_0,,,,2,2,1,3
C(C(C=O)C(CC(CO)=O)O)=O,,,3,1,11,13,24
256_1,,,,2,2,1,3
258_0,,,,2,2,1,3
C(C(C=O)C(CO)(CC=O)O)=O,,,3,1,10,14,24
258_1,,,,2,2,1,3
260_0,,,,2,2,1,3
C(C(C=O)C(C(C(C)=O)O)O)=O,,,3,1,12,14,26
260_1,,,,2,2,1,3
262_0,,,,2,2,1,3
C(C(C=O)C(C)(C(C=O)O)O)=O,,,3,1,10,14,24
262_1,,,,2,2,1,3
264_0,,,,2,2,1,3
C(C(C=O)C(C)O)=O,,,3,1,37,45,82
264_1,,,,2,2,1,3
266_0,,,,2,2,1,3
C(C(C=O)C(C(CO)O)O)=O,,,3,1,12,13,25
266_1,,,,2,2,1,3
268_0,,,,2,2,1,3
C(C(C=O)C(C(C(CO)O)O)O)=O,,,3,1,13,13,26
268_1,,,,2,2,1,3
270_0,,,,2,2,1,3
C(C(C=O)CO)=O,,,3,1,74,101,175
270_1,,,,2,2,1,3
272_0,,,,2,2,1,3
C(C(C=O)C(CO)O)=O,,,3,1,19,21,40
272_1,,,,2,2,1,3
274_0,,,,2,2,1,3
C(C(CCO)(CC=O)O)=O,,,3,1,17,19,36
276_0,,,,2,2,1,3
C(C(CCO)(C(C=O)O)O)=O,,,3,1,13,16,29
276_1,,,,2,2,1,3
278_0,,,,2,2,1,3
C(CC(C(CCO)=O)O)=O,,,3,1,28,29,57
280_0,,,,2,2,1,3
C(C(C(C=O)O)O)(CCO)=O,,,3,1,23,22,45
280_1,,,,2,2,1,3
282_0,,,,2,2,1,3
C(C(C(CO)C(C)O)=O)=O,,,3,1,17,19,36
282_1,,,,2,2,1,3
284_0,,,,2,2,1,3
C(C(C(CO)C(C(CO)O)O)=O)=O,,,3,1,16,17,33
284_1,,,,2,2,1,3
286_0,,,,2,2,1,3
C(C(C(CO)CO)=O)=O,,,3,1,22,23,45
286_1,,,,2,2,1,3
288_0,,,,2,2,1,3
C(C(C(CO)C(CO)O)=O)=O,,,3,1,18,18,36
288_1,,,,2,2,1,3
290_0,,,,2,2,1,3
C(CC(C(CC=O)O)O)=O,,,3,1,15,16,31
292_0,,,,2,2,1,3
C(CC(C(C(C=O)O)O)O)=O,,,3,1,23,25,48
292_1,,,,2,2,1,3
294_0,,,,2,2,1,3
C(CC(CC(C=O)O)O)=O,,,3,1,25,26,51
296_0,,,,2,2,1,3
C(C(C(CC(C=O)O)O)O)=O,,,3,1,21,21,42
296_1,,,,2,2,1,3
298_0,,,,2,2,1,3
C(C(C(C)O)C(C=O)O)=O,,,3,1,20,22,42
298_1,,,,2,2,1,3
300_0,,,,2,2,1,3
C(C(C(C(CO)O)O)C(C=O)O)=O,,,3,1,17,18,35
300_1,,,,2,2,1,3
302_0,,,,2,2,1,3
C(C(CO)C(C=O)O)=O,,,3,1,34,34,68
302_1,,,,2,2,1,3
304_0,,,,2,2,1,3
C(C(C(CO)O)C(C=O)O)=O,,,3,1,18,19,37
304_1,,,,2,2,1,3
306_0,,,,2,2,1,3
C(CC(CC(CO)=O)O)=O,,,3,1,32,32,64
308_0,,,,2,2,1,3
C(C(C(CC(CO)=O)O)O)=O,,,3,1,20,21,41
308_1,,,,2,2,1,3
310_0,,,,2,2,1,3
C(CC(CO)(CC=O)O)=O,,,3,1,14,14,28
312_0,,,,2,2,1,3
C(CC(CO)(C(C=O)O)O)=O,,,3,1,17,19,36
