Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
242_1,,,,2,2,1,3
244_0,,,,2,2,1,3
C(C(CO)(C(C(CCO)=O)O)O)=O,,,2,1,4,45,49
244_1,,,,2,2,1,3
246_0,,,,2,2,1,3
C(C(CO)(C(C=O)O)O)(CCO)=O,,,2,1,2,44,46
246_1,,,,2,2,1,3
248_0,,,,2,2,1,3
C(C(CO)(C(CC(CO)=O)O)O)=O,,,2,1,4,43,47
248_1,,,,2,2,1,3
250_0,,,,2,2,1,3
C(C(CO)(C(C(C(C)=O)O)O)O)=O,,,2,1,4,45,49
250_1,,,,2,2,1,3
252_0,,,,2,2,1,3
C(C(C(C(C(C)=O)(CO)O)O)O)=O,,,2,1,4,44,48
252_1,,,,2,2,1,3
254_0,,,,2,2,1,3
C(C(CO)(C(C(CC=O)O)O)O)=O,,,2,1,4,45,49
254_1,,,,2,2,1,3
256_0,,,,2,2,1,3
C(C(CO)(CC(C(CO)O)=O)O)=O,,,2,1,1,43,44
258_0,,,,2,2,1,3
C(C(C(CO)O)N)(O)=O,,,2,1,1,613,614
260_0,,,,2,2,1,3
C(C(C(C(C(CO)O)O)O)N)(O)=O,,,2,1,1,603,604
262_0,,,,2,2,1,3
C(C(C(O)=O)N)(O)=O,,,2,1,2,581,583
262_1,,,,2,2,1,3
264_0,,,,2,2,1,3
C(C(C(C(O)=O)N)O)(O)=O,,,2,1,1,612,613
266_0,,,,2,2,1,3
C(C(CO)N)(O)=O,,,2,1,2,645,647
267_0,,,,2,1,2,3
269_0,,,,2,2,2,4
C(CO)(C(C(C(CO)O)O)NC)=O,,,2,1,3,27,30
271_0,,,,2,2,2,4
C(CC(C(C(CO)O)NC)=O)=O,,,2,1,2,41,43
273_0,,,,2,2,2,4
C(C(C(CC(CO)O)=O)NC)=O,,,2,1,4,37,41
275_0,,,,2,2,2,4
C(CC(C=O)O)(C(CO)NC)=O,,,2,1,2,46,48
277_0,,,,2,2,2,4
C(C(C(C=O)O)NC)(CCO)=O,,,2,1,4,46,50
277_1,,,,2,2,2,4
279_0,,,,2,2,2,4
C(C(C(C(C(C)=O)NC)O)O)=O,,,2,1,2,45,47
281_0,,,,2,2,3,5
C(C(CC(C(CO)O)O)N)=O,,,2,1,12,27,39
283_0,,,,2,2,3,5
C(CN)(CC(C(CO)O)O)=O,,,2,1,12,29,41
284_0,,,,2,2,1,3
C(CN)(O)=O,,,0,1,43,663,706
285_0,,,,2,1,2,3
286_0,,,,2,1,2,3
287_0,,,,2,1,2,3
288_0,,,,2,1,2,3
289_0,,,,2,1,2,3
290_0,,,,2,1,2,3
291_0,,,,2,1,2,3
292_0,,,,2,1,2,3
293_0,,,,2,1,2,3
294_0,,,,2,1,2,3
295_0,,,,2,1,2,3
296_0,,,,2,1,2,3
297_0,,,,2,1,2,3
298_0,,,,2,1,2,3
299_0,,,,2,1,2,3
300_0,,,,2,1,2,3
301_0,,,,2,1,2,3
302_0,,,,2,1,2,3
303_0,,,,2,1,2,3
304_0,,,,2,1,2,3
305_0,,,,2,1,2,3
306_0,,,,2,1,2,3
307_0,,,,2,1,2,3
309_0,,,,2,1,2,3
C(CCO)(CC(C=O)=O)=O,,,2,1,3,69,72
311_0,,,,2,1,2,3
C(CO)(CCC(C=O)=O)=O,,,2,1,4,69,73
313_0,,,,2,1,2,3
C(C)(C(CC(C=O)=O)O)=O,,,2,1,4,76,80
315_0,,,,2,1,2,3
