Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
190_0,,,,2,2,1,3
C(C)(C(C(C(C=O)=O)O)O)=O,,,3,1,21,23,44
190_1,,,,2,2,1,3
192_0,,,,2,2,1,3
C(C(C(CO)O)=O)=O,,,3,1,81,92,173
192_1,,,,2,2,1,3
194_0,,,,2,2,1,3
C(C(CO)(C(C(C=O)=O)O)O)(O)=O,,,3,1,17,18,35
194_1,,,,2,2,1,3
196_0,,,,2,2,1,3
C(C(C(C(C)O)O)=O)=O,,,3,1,31,34,65
196_1,,,,2,2,1,3
198_0,,,,2,2,1,3
C(C(C(C=O)=O)O)(O)=O,,,3,1,31,30,61
198_1,,,,2,2,1,3
200_0,,,,2,2,1,3
C(C(C)(C(C(C=O)=O)O)O)(O)=O,,,3,1,13,16,29
200_1,,,,2,2,1,3
202_0,,,,2,2,1,3
C(C(C)(CC(C=O)=O)O)=O,,,3,1,20,21,41
204_0,,,,2,2,1,3
C(C(C)(C(C(C(O)=O)=O)O)O)=O,,,3,1,9,14,23
204_1,,,,2,2,1,3
206_0,,,,2,2,1,3
C(C(C)(CC=O)O)=O,,,3,1,64,88,152
208_0,,,,2,2,1,3
C(C(C)(CC(C(O)=O)=O)O)=O,,,3,1,9,13,22
210_0,,,,2,2,1,3
C(C)(C(CC(C=O)=O)O)=O,,,3,1,31,28,59
212_0,,,,2,2,1,3
C(C)(C(C(C(C(O)=O)=O)O)O)=O,,,3,1,13,15,28
212_1,,,,2,2,1,3
214_0,,,,2,2,1,3
C(CC(C(C)=O)O)=O,,,3,1,107,128,235
216_0,,,,2,2,1,3
C(C)(C(CC(C(O)=O)=O)O)=O,,,3,1,14,15,29
218_0,,,,2,2,1,3
C(C(CCO)=O)=O,,,3,1,119,183,302
220_0,,,,2,2,1,3
C(C(CO)(CC(C=O)=O)O)(O)=O,,,3,1,14,16,30
222_0,,,,2,2,1,3
C(C(CC(C)O)=O)=O,,,3,1,71,94,165
