,Gen,ID,nC,nH,nO,MW,nAcid,nBase,nHBAcc,nHBDon
955,3,C(CC(CO)(OCC=O)O)=O,6,10,5,162.05282342,0,0,5,2
956,3,C(C(C(C)(OCC=O)O)O)=O,6,10,5,162.05282342,0,0,5,2
957,3,C(C(C(CO)OC(C=O)O)O)=O,6,10,6,178.04773804,0,0,6,3
958,3,C(C(CC(OCC=O)O)O)=O,6,10,5,162.05282342,0,0,5,2
959,3,C(C(CO)OC(C(CO)=O)O)=O,6,10,6,178.04773804,0,0,6,3
960,3,C(C(C(COC(C=O)O)O)O)=O,6,10,6,178.04773804,0,0,6,3
961,3,C(C(COC(C(CO)=O)O)O)=O,6,10,6,178.04773804,0,0,6,3
962,3,C(C(CCO)N)=O,4,9,2,103.063328528,0,1,3,2
963,3,C(CC(CO)N)=O,4,9,2,103.063328528,0,1,3,2
964,3,C(C(C(C)N)O)=O,4,9,2,103.063328528,0,1,3,2
965,3,C(C(CCN)O)=O,4,9,2,103.063328528,0,1,3,2
966,3,C1(C(C(C(CO)C1O)O)O)=O,6,10,5,162.05282342,0,0,5,4
967,3,C(C(C(C(CO)C(CO)O)O)=O)=O,7,12,6,192.063388104,0,0,6,4
968,3,C(C(C(CO)C(C(CO)=O)O)O)=O,7,12,6,192.063388104,0,0,6,4
969,3,C(C(C(C(C(CO)CO)O)=O)O)=O,7,12,6,192.063388104,0,0,6,4
970,3,C(C(C(C(CO)C(C=O)O)O)O)=O,7,12,6,192.063388104,0,0,6,4
971,3,C(C(C(CC(C(CO)=O)O)O)O)=O,7,12,6,192.063388104,0,0,6,4
972,3,C(C(C(C=O)O)O)(C(CCO)O)=O,7,12,6,192.063388104,0,0,6,4
973,3,C(C(CC(C=O)O)O)=O,5,8,4,132.042258736,0,0,4,2
974,3,C(C(C(C(C)O)=O)O)=O,5,8,4,132.042258736,0,0,4,2
975,3,C(C(C)O)=O,3,6,2,74.036779432,0,0,2,1
976,3,C(C(C(CO)O)=O)(CCO)=O,6,10,5,162.05282342,0,0,5,3
977,3,C(C(CO)=O)(C(CCO)O)=O,6,10,5,162.05282342,0,0,5,3
978,3,C(C(C(C(CCO)O)O)=O)=O,6,10,5,162.05282342,0,0,5,3
979,3,C(C(CO)O)(C(C(C)=O)O)=O,6,10,5,162.05282342,0,0,5,3
980,3,C(C(C)O)(C(C(CO)=O)O)=O,6,10,5,162.05282342,0,0,5,3
981,3,C(C(C(C(C(C)O)O)=O)O)=O,6,10,5,162.05282342,0,0,5,3
982,3,C(C(CO)=O)(C(C(CO)O)O)=O,6,10,6,178.04773804,0,0,6,4
983,3,C(CO)(C(CNC)O)=O,5,11,3,133.073893212,0,1,4,3
984,3,C(C(CO)O)(C(C(CO)NC)O)=O,7,15,5,193.09502258,0,1,6,5
985,3,C(CC(C(C(CO)=O)O)NC)=O,7,13,4,175.084457896,0,1,5,3
986,3,C(CC(C(CO)=O)O)(CNC)=O,7,13,4,175.084457896,0,1,5,3
987,3,C(CC(C(CO)=O)NC)(CO)=O,7,13,4,175.084457896,0,1,5,3
988,3,C(C(CC(C(C=O)O)NC)O)=O,7,13,4,175.084457896,0,1,5,3
989,3,C(C(C(CNC)O)=O)(CCO)=O,7,13,4,175.084457896,0,1,5,3
990,3,C(C(CNC)=O)(C(CCO)O)=O,7,13,4,175.084457896,0,1,5,3
991,3,C(C(CO)=O)(C(CCO)NC)=O,7,13,4,175.084457896,0,1,5,3
992,3,C(C(C(C(CCO)NC)O)=O)=O,7,13,4,175.084457896,0,1,5,3
993,3,C(C(CNC)O)(CC(CO)=O)=O,7,13,4,175.084457896,0,1,5,3
994,3,C(C(CC(C(CNC)=O)O)O)=O,7,13,4,175.084457896,0,1,5,3
995,3,C(C(CC(C(CO)=O)O)NC)=O,7,13,4,175.084457896,0,1,5,3
996,3,C(C(CNC)O)(C(C(C)=O)O)=O,7,13,4,175.084457896,0,1,5,3
997,3,C(C(C)O)(C(C(CNC)=O)O)=O,7,13,4,175.084457896,0,1,5,3
998,3,C(C(C)NC)(C(C(CO)=O)O)=O,7,13,4,175.084457896,0,1,5,3
999,3,C(C(C(C(C(C)NC)O)=O)O)=O,7,13,4,175.084457896,0,1,5,3
1000,3,C(CC(C(C(CNC)O)=O)O)=O,7,13,4,175.084457896,0,1,5,3
1001,3,C(CNCC(C(CO)=O)O)(O)=O,6,11,5,177.063722452,1,1,5,4
1002,3,C(C(C(CO)O)O)(C(CNC)O)=O,7,15,5,193.09502258,0,1,6,5
1003,3,C(C(CCO)O)(C(CO)O)=O,6,12,5,164.068473484,0,0,5,4
1004,3,C(CO)(C(CC(CO)O)O)=O,6,12,5,164.068473484,0,0,5,4
1005,3,C(C(C(CO)O)O)(C(C)O)=O,6,12,5,164.068473484,0,0,5,4
1006,3,C(CO)(C(C(CCO)O)O)=O,6,12,5,164.068473484,0,0,5,4
